"Freq [GHz]","dB(St(Feed,Feed)) []"
1.3998125,-13.2629369778167
1.399825,-13.2406799927784
1.3998375,-13.2184838472961
1.39985,-13.1963482840369
1.3998625,-13.1742730470694
1.399875,-13.1522578818558
1.3998875,-13.1303025352473
1.3999,-13.1084067554759
1.3999125,-13.086570292149
1.399925,-13.0647928962415
1.3999375,-13.043074320091
1.39995,-13.0214143173892
1.3999625,-12.9998126431766
1.399975,-12.9782690538351
1.3999875,-12.9567833070819
1.4,-12.9353551619607
